NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization
20MICRONS,Mining / Minerals / Metals,225.65,98.43,168.63,244.48,324.16,796.25
TCS,Computers - Software - Large,3957,117575,183038,232762,289602.28,1431677.22
BHARTIARTL,Telecommunications - Service Provider,1457.95,106839.9,125474.6,121100.3,134525.3,871006.32
A2ZINFRA,Engineering - Turnkey Services,21.67,190.45,149.84,259.98,365.45,381.65
AAATECH,Computers - Software - Medium / Small,110.9,14.85,8.6,9.58,9.58,142.24
ICICIBANK,Banks - Private Sector,1201.5,204093.28,418149.37,484086.52,544807.19,845398.02
AARVEEDEN,Textiles - Cotton/Blended,28.21,221.36,334.3,346.95,487.64,66.18
INFY,Computers - Software - Large,1573.6,64621,99434,123050,145232,653342.27
HINDUNILVR,Personal Care - Multinational,2501,30987,42897,53139,64093.11,587632.79
ACCORD,Telecommunications - Service Provider,28.3,0.11,14.91,10.19,4.33,9.83
ITC,Cigarettes,425.75,43674.51,66642.9,86455.93,108022.46,531537.07
LT,Engineering - Turnkey Services,3529,49163.05,74708.98,54407.68,43419.17,485183.91
HCLTECH,Computers - Software - Large,1468.95,53342,82737,91281,105517.37,398623.82
AXISBANK,Banks - Private Sector,1266.75,39501.66,80548.36,77614.73,57395.33,391431.39
MARUTI,Automobiles - Passenger Cars,12125,9166.7,15790.4,25591.8,41932.7,381213.08
TATAMOTORS,Automobiles - LCVs / HCVs,992.3,52520.2,58768.28,31231.54,55511.07,363771.58
SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1512.25,20408.88,30611.02,31657.98,41818.79,362839.44
NTPC,Power Generation And Supply,370.85,42831.9,57821.14,55890.91,50407.98,359600.88
KOTAKBANK,Banks - Private Sector,1803,20064.9,70852.03,61424.96,81013.43,358427.66
ADVANIHOTR,Hotels,70.83,61.34,75.35,97.09,128.98,654.73
ONGC,Oil Drilling / Allied Services,274,154513.49,198395.91,263153.85,336850.7,344699.68
ULTRACEMCO,Cement - North India,11748.8,8719.69,26666.84,32979.68,40491.68,339184.68
ADANIPORTS,Miscellaneous,1482,17364.59,26415.86,32468.96,34882.26,320132.58
AHIMSA,Plastics Products,18.9,4.21,7.24,10.21,9.95,10.35
POWERGRID,Power Generation And Supply,327.35,75145.52,114303.16,111653.92,93455.39,304455.24
TITAN,Diamond Cutting / Jewellery,3409.05,1034,4341,4970.18,7050.91,302650.76
COALINDIA,Mining / Minerals / Metals,472.1,51384.69,50512.76,72453.9,97086.84,290942.37
ASIANPAINT,Paints / Varnishes,2915.2,6861.76,12962.06,15002.71,18053.62,279625.36
AKSHOPTFBR,Cables - Telephone,8.2,123.24,292.71,178.28,219.81,133.4
AKSHAR,Textiles - Cotton/Blended,2.62,11.3,24.59,34.86,10.08,78.6
SIEMENS,Electric Equipment,7810.85,3109.4,4973.6,5719.7,7429.2,278160.22
ALBERTDAVD,Pharmaceuticals - Indian - Bulk Drugs & Formln,1339.95,72.1,122.61,199.17,279.89,765.06
ADANIPOWER,Power Generation And Supply,719.15,23555.36,30339.77,39165.21,49433.42,277371.76
HINDZINC,Mining / Minerals / Metals,654.45,31274,42417,54934,69372.67,276525.99
ALKALI,Chemicals,151.7,20.98,24.37,32.37,49.97,154.43
WIPRO,Computers - Software - Large,527.45,37742.1,58456.3,74357.2,95376.3,275865
BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,9629.9,13831.12,20267.56,26790.82,35098.78,268847.29
NESTLEIND,Food - Processing - MNC,2571,5998.38,10121.79,13633.4,17174.34,247884.85
ALLCARGO,Miscellaneous,61.04,1867.17,1587.39,1837.95,2796.25,5998.89
IOC,Refineries,167.25,34218.94,37846.1,36183.48,93827.31,236177.72
JSWSTEEL,Steel - Large,943.55,21327,30927,43101,49696.82,230740.81
ALMONDZ,Finance & Investments,137.65,2.46,17.29,51.63,73.81,381.08
ALPHAGEO,Miscellaneous,386.45,75.15,59.49,166.54,131.5,245.95
ALPSINDUS,Textiles - Products,4.07,122.91,231.52,343.16,786.06,15.91
BEL,Electronics - Components,308.5,8353.66,14803.65,14096.41,16059.17,225506.64
TATASTEEL,Steel - Large,175.5,44866.03,92815.2,110250.78,115001.73,219085.9
AMBICAAGAR,Chemicals,26.27,23.85,34.28,41.65,90.21,45.11
AMBIKCO,Textiles - Cotton/Blended,1653,17.06,126.29,88.34,214.83,946.35
DLF,Construction,824,8171.55,9917.96,10937.54,13405.83,203965.69
AMJLAND,Construction,41.91,25.43,28.36,39.25,38.54,171.83
TRENT,Trading,5419.65,1174.61,1615.55,1411.28,1258.23,192661.76
ABB,Electric Equipment,8531,2276.79,3026.72,4023.16,5445.32,180779.04
VEDL,Mining / Minerals / Metals,461.55,63166,92059,117066,151910,171567.64
AMBUJACEM,Cement - North India,671.5,1366.49,7605.14,10548.25,14264.93,165398.72
INDIGO,Transport - Airlines,4245.8,34086.98,37929.84,42066.81,50459.03,163879.25
LTIM,Computers - Software - Large,5490,9194.3,12728.3,14715.9,17009.36,162593.69
ANKITMETAL,Steel - Medium / Small,4,93.85,444.57,626.7,439.56,56.44
ANMOL,Trading,35.2,87.59,94,123.07,127.4,200.34
ANSALAPI,Construction,9.5,559.78,915.86,1637.97,1323.2,149.52
PIDILITIND,Chemicals,3163.75,3812.33,5688.08,6803.14,8359.01,160911.28
APEX,Aquaculture,223.5,124.33,144.75,60.88,69.82,698.46
HINDALCO,Aluminium and Aluminium Products,695,29327,46929,60879.99,79761.09,156181.51
APOLSINHOT,Hotels,1490.4,2.04,28.95,65.08,76.44,387.57
SBILIFE,Finance & Investments,1495.55,79373.75,122346.49,145959.42,162623.14,149790.84
TECHM,Computers - Software - Large,1455,14691.5,25741.6,32157.6,39069,142281.85
ARCHIES,Trading,26.74,21.02,44.88,48.05,47.88,90.33
ARIES,Fertilizers,265.15,148.36,236.12,276.33,374.48,344.71
GODREJCP,Personal Care - Indian,1382.75,5405.05,8706.91,11639.89,14773.19,141430.5
ARSHIYA,Miscellaneous,5.49,180.6,255.55,512.33,561.87,144.65
MOTHERSON,Auto Ancillaries,197.15,6045.45,13322.05,15182.35,18011.65,133597.18
BPCL,Refineries,305.7,42968.38,53082.96,56122.62,66407.63,132628.14
BRITANNIA,Food - Processing - MNC,5445.45,4721.66,7599.93,9183.92,10614,131163.64
EICHERMOT,Automobiles - Motorcycles / Mopeds,4677,5971.44,8297.11,10818.94,13012.87,128154.73
ASIANHOTNR,Hotels,135.5,128.91,305.02,552.63,799.76,263.54
HDFCLIFE,Finance & Investments,595,23271.25,40264.63,56795.99,72984.59,127983.27
DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4553.65,3443.32,4513.3,5236.66,7171.66,120885.1
ASPINWALL,Miscellaneous,283,52.56,97.26,73.44,99.11,221.26
CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1488.3,7565.85,12612.42,14523.09,17042.61,120182.9
HAVELLS,Electric Equipment,1848.9,2645.3,3619.53,3131.9,4753.38,115867.4
HEROMOTOCO,Automobiles - Motorcycles / Mopeds,5693.1,7743.21,15510.15,18762.75,24582.59,113822.74
ATLANTAA,Engineering - Turnkey Services,44.66,349.84,607.75,682.42,1387.81,363.98
CUMMINSIND,Engines,3978.3,2433.57,3469.75,4290.34,5173.85,110278.49
CGPOWER,Electric Equipment,709.65,1452.59,1844.23,2728.73,1891.67,108391.9
DABUR,Personal Care - Indian,608.9,3888.44,6909.91,9075.24,11610.31,107916.04
ZYDUSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1066.85,5092.3,9581.9,9701.4,9512.6,107350.09
DRREDDY,Pharmaceuticals - Indian - Bulk Drugs & Formln,6421.85,7154.9,11889.2,14849.6,18850.1,107135.55
AVTNPL,Food - Processing - Indian,85.35,189.26,248,173.19,208.75,1299.87
JINDALSTEL,Steel - Sponge Iron,1049.75,11630.75,30062.78,44002.58,45110.21,107083.79
TATACONSUM,Tea,1093.15,4217.57,6626.23,6585.06,7402.52,104159.13
UNIONBANK,Banks - Public Sector,135.25,58250.02,78095.69,75802.68,65054.78,103244.52
AYMSYNTEX,Textiles - Processing,103,37.93,173.06,98.71,162.86,522.53
INDUSTOWER,Transmisson Line Towers / Equipment,382.3,14123.8,21239.4,26088.9,31336.8,103027.44
BCP,Trading,4.69,9.85,27.18,35.75,44.95,32.74
BLKASHYAP,Construction,93.5,249.97,250.49,518.62,792.74,2107.85
POLYCAB,Cables - Power,6734,1398.99,2415.57,3543.34,3483.99,101208.53
BOSCHLTD,Auto Ancillaries,34280.25,1364.6,2917.3,4175.3,6886.6,101104.93
BAJAJHIND,Sugar,41.25,2034.46,3254.77,5284.29,5954.97,5269.13
NHPC,Power Generation And Supply,100.35,562.85,2935.17,8531.8,21432.36,100801.95
