NSE_code,Industry,Current_price,Fcf 3years,Fcf 5years,Fcf 7years,Fcf 10years,Market_capitalization,avg_fcf,intrinsic_value,undervalued_score
ICICIBANK,Banks - Private Sector,1201.5,204093.28,418149.37,484086.52,544807.19,845398.02,412784.08999999997,344722.4555953196,343520.9555953196
ONGC,Oil Drilling / Allied Services,274.0,154513.49,198395.91,263153.85,336850.7,344699.68,238228.4875,198948.33932131183,198674.33932131183
TCS,Computers - Software - Large,3957.0,117575.0,183038.0,232762.0,289602.28,1431677.22,205744.32,171820.30251017972,167863.30251017972
SBILIFE,Finance & Investments,1495.55,79373.75,122346.49,145959.42,162623.14,149790.84,127575.70000000001,106540.46423710717,105044.91423710716
BHARTIARTL,Telecommunications - Service Provider,1457.95,106839.9,125474.6,121100.3,134525.3,871006.32,121985.025,101871.60402392557,100413.65402392557
INFY,Computers - Software - Large,1573.6,64621.0,99434.0,123050.0,145232.0,653342.27,108084.25,90262.8492081137,88689.24920811369
VEDL,Mining / Minerals / Metals,461.55,63166.0,92059.0,117066.0,151910.0,171567.64,106050.25,88564.22396632959,88102.67396632959
POWERGRID,Power Generation And Supply,327.35,75145.52,114303.16,111653.92,93455.39,304455.24,98639.4975,82375.38854001953,82048.03854001952
TATASTEEL,Steel - Large,175.5,44866.03,92815.2,110250.78,115001.73,219085.9,90733.435,75772.91197874976,75597.41197874976
HCLTECH,Computers - Software - Large,1468.95,53342.0,82737.0,91281.0,105517.37,398623.82,83219.3425,69497.7757006767,68028.82570067671
ITC,Cigarettes,425.75,43674.51,66642.9,86455.93,108022.46,531537.07,76198.95,63634.93602135921,63209.18602135921
UNIONBANK,Banks - Public Sector,135.25,58250.02,78095.69,75802.68,65054.78,103244.52,69300.7925,57874.17670410144,57738.92670410144
COALINDIA,Mining / Minerals / Metals,472.1,51384.69,50512.76,72453.9,97086.84,290942.37,67859.5475,56670.57044225526,56198.47044225526
WIPRO,Computers - Software - Large,527.45,37742.1,58456.3,74357.2,95376.3,275865.0,66482.97499999999,55520.97319759161,54993.52319759161
AXISBANK,Banks - Private Sector,1266.75,39501.66,80548.36,77614.73,57395.33,391431.39,63765.020000000004,53251.16642815538,51984.41642815538
GICRE,Finance & Investments,385.8,31763.88,53656.22,70041.79,86511.44,67684.75,60493.332500000004,50518.92897941914,50133.12897941914
KOTAKBANK,Banks - Private Sector,1803.0,20064.9,70852.03,61424.96,81013.43,358427.66,58338.829999999994,48719.670213447185,46916.670213447185
BPCL,Refineries,305.7,42968.38,53082.96,56122.62,66407.63,132628.14,54645.3975,45635.22691289372,45329.52691289372
HINDALCO,Aluminium and Aluminium Products,695.0,29327.0,46929.0,60879.99,79761.09,156181.51,54224.27,45283.536744993304,44588.536744993304
IDEA,Telecommunications - Service Provider,17.79,44023.7,54083.6,48576.3,63805.3,120756.5,52622.22499999999,43945.64388586154,43927.853885861536
NTPC,Power Generation And Supply,370.85,42831.9,57821.14,55890.91,50407.98,359600.88,51737.982500000006,43207.199131506444,42836.349131506446
LT,Engineering - Turnkey Services,3529.0,49163.05,74708.98,54407.68,43419.17,485183.91,55424.72,46286.05133275128,42757.05133275128
IOC,Refineries,167.25,34218.94,37846.1,36183.48,93827.31,236177.72,50518.957500000004,42189.17227046128,42021.92227046128
HINDZINC,Mining / Minerals / Metals,654.45,31274.0,42417.0,54934.0,69372.67,276525.99,49499.417499999996,41337.738455806124,40683.28845580613
TATAMOTORS,Automobiles - LCVs / HCVs,992.3,52520.2,58768.28,31231.54,55511.07,363771.58,49507.7725,41344.71584710166,40352.415847101656
HDFCLIFE,Finance & Investments,595.0,23271.25,40264.63,56795.99,72984.59,127983.27,48329.115,40360.40051725006,39765.40051725006
HINDUNILVR,Personal Care - Multinational,2501.0,30987.0,42897.0,53139.0,64093.11,587632.79,47779.0275,39901.01383451166,37400.01383451166
MFSL,Finance & Investments,983.5,24005.08,36144.47,52357.58,64776.44,33942.03,44320.8925,37013.07115973435,36029.57115973435
INDIGO,Transport - Airlines,4245.8,34086.98,37929.84,42066.81,50459.03,163879.25,41135.665,34353.037810508744,30107.237810508745
JSWSTEEL,Steel - Large,943.55,21327.0,30927.0,43101.0,49696.82,230740.81,36262.955,30283.761408397728,29340.21140839773
ADANIPOWER,Power Generation And Supply,719.15,23555.36,30339.77,39165.21,49433.42,277371.76,35623.44,29749.69242044318,29030.54242044318
JINDALSTEL,Steel - Sponge Iron,1049.75,11630.75,30062.78,44002.58,45110.21,107083.79,32701.58,27309.601393422876,26259.851393422876
SUNPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1512.25,20408.88,30611.02,31657.98,41818.79,362839.44,31124.167500000003,25992.279520657015,24480.029520657015
SAIL,Steel - Large,149.5,17448.07,32467.62,35361.3,24606.1,61751.38,27470.7725,22941.27216313104,22791.77216313104
TECHM,Computers - Software - Large,1455.0,14691.5,25741.6,32157.6,39069.0,142281.85,27914.925,23312.190868982325,21857.190868982325
ADANIPORTS,Miscellaneous,1482.0,17364.59,26415.86,32468.96,34882.26,320132.58,27782.917500000003,23201.949339186453,21719.949339186453
INDUSTOWER,Transmisson Line Towers / Equipment,382.3,14123.8,21239.4,26088.9,31336.8,103027.44,23197.225,19372.365744515828,18990.06574451583
RPOWER,Power Generation And Supply,28.89,10281.5,18294.77,26393.19,32306.47,11605.06,21818.9825,18221.373856708735,18192.483856708735
